"nombre_carrera","anio_examen_publico","mes_examen_publico","sexo","pais_nacionalidad","anio_nacimiento","anio_ingreso_carrera","promedio_al_graduarse","correlativo_estudiante"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","02",M,GUATEMALA,"1984","2003","75","0d9bc138f65b9ff39f0f3c8b940370b7"
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1977","1996","69","6241a6ab8bfafc95ea5c1a4a487c3406"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1979","1997","66","257c6b79ae01c5815633fc737b8b3604"
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,"1985","2004","73","82bc36ec4bd15893747d9adb63b8097d"
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,SIN INFORMACION,"2002","66",fce5d6600149c1d3a569e169755e3ce3
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1985","2005","73","4e4ab665e007b51e1a6fe761606143b0"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1975","2002","65","6e2bddb0a311d690fb47f2aa7dd290aa"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1986","2005","76",b0ebcbdf1efbfad6c399729f96736fba
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1985","2004","73","96fcad5090f482ac14f96d7dc3f5f734"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1983","2007","66",e1a05bc5405e9df7ad3e0bf9ec3a348a
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1973","1992","68",ba41ea5efe6d752e8a12fcfa9731be9e
INGENIERIA ELECTRONICA,"2010","02",M,GUATEMALA,"1983","2002","77",afb752e926b4e612f7541e6a491a7d36
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,"1984","2005","65","5f9a2955742ba32ae6b265212532c05f"
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1981","2001","67","26d8f37d92b2dd643e9203b2c1c732b0"
INGENIERIA MECANICA INDUSTRIAL,"2010","02",M,GUATEMALA,"1980","1997","70","5a8caf7f1a34d08b96db02f03a2cf5a1"
INGENIERIA QUIMICA,"2010","02",M,GUATEMALA,"1984","2003","69","74220d96d9861e72afbe4e628c539379"
INGENIERIA MECANICA,"2010","02",M,GUATEMALA,"1983","2008","70","59192e581c357f3fb5e046a8c509adeb"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1983","2004","67","47ff852a17de432495cbdd637a68e9f6"
INGENIERIA MECANICA ELECTRICA,"2010","02",M,GUATEMALA,"1982","2002","70",f03c483101803bf692874f6716f9bb01
INGENIERIA CIVIL,"2010","02",F,GUATEMALA,"1981","2001","69","441595366f8b5190e9f909e84d0c92db"
INGENIERIA MECANICA INDUSTRIAL,"2010","02",M,GUATEMALA,"1983","2002","69","27f6bc1327526e652905a2fc99835cde"
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1982","2002","68","023dfd4ca9d2cd4c94befad77ddb0367"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1984","2005","69","16832334628426bf5f4a8392ef69d36b"
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1976","2000","68","82d50ea8b3c574463543f80cb9626388"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","02",M,GUATEMALA,"1985","2002","71","761bcf1d7f3135f4950994a49dab7b5c"
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,"1964","1983","67","49b7ec223ddc5f657b2e0bf4e40edee2"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,SIN INFORMACION,"1983","67","896e9aed44beb63af1cdaa5fe6aab852"
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,"1982","2001","74","077c905e81244f4ade8e65b18e01aed9"
INGENIERIA MECANICA INDUSTRIAL,"2010","02",M,GUATEMALA,"1981","2001","68","3ec58653d677aca4a9fa2b89d198c0b0"
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,"1985","2003","66",b5d4a089bacbbb2cbdfa5b8c72c1b7da
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,"1981","1999","70","08047a18f71a300e71b23455572df070"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1986","2004","68",e07e14e6e8c758e67a34f246a50a4fd5
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1980","2001","66",b64a830a488f2365914483364a1cd9f1
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1981","2006",SIN INFORMACION,cf49e42cd5aefd5b5c2140478b42973e
INGENIERIA INDUSTRIAL,"2010","02",F,GUATEMALA,"1984","2005","71","88e80e433fe61a79d73b1f500b96ec6e"
INGENIERIA QUIMICA,"2010","02",F,GUATEMALA,"1985","2004","71",d82630d65bf6956b24cd8f69b60fae90
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1984","2003","72",a7dc15e4f6eb8ce32b56f9bb2f6a8b4f
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1978","1997","67",ee1ace73b005c392ece7efa3070a38fa
INGENIERIA MECANICA INDUSTRIAL,"2010","02",M,GUATEMALA,"1985","2003","68","3f2e5e408fa5191d15971bbd04d6ae77"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1985","2001","71",f6f5e1c5d300bdc558b965e7a0c7a9b0
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1981","2005","68","664208fedaf1bf28fe44537f00b1bef3"
INGENIERIA CIVIL,"2010","03",M,GUATEMALA,"1983","2001","68","2f94f851b83c88823747c9f7e4bebf5e"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","03",M,GUATEMALA,"1978","1997","71",d2f3e2ef15ead48d3e034906f6603dbe
INGENIERIA INDUSTRIAL,"2010","03",M,GUATEMALA,"1980","1998","69","86d5a12cffe6d14a0a029cdd7d48f385"
INGENIERIA INDUSTRIAL,"2010","03",M,GUATEMALA,"1982","2003","68","128085cd43101e5016cedc358fd02fce"
INGENIERIA INDUSTRIAL,"2010","03",M,GUATEMALA,"1981","2000","69",e50d9db318e3b49aba7ba6095542e4f2
INGENIERIA MECANICA INDUSTRIAL,"2010","03",M,GUATEMALA,"1982","2001","67","2b06f674a84aca14bf4af860fe2b6f46"
INGENIERIA ELECTRICA,"2010","03",M,GUATEMALA,SIN INFORMACION,"1999","68","6a75c5ac07154050562c4873f49b4c3a"
INGENIERIA INDUSTRIAL,"2010","03",F,GUATEMALA,"1984","2003","68","50040b9033482c6af81fc6824acf7a16"
INGENIERIA MECANICA,"2010","03",M,GUATEMALA,SIN INFORMACION,"1995","70","0c89a8e421be853f66bf78809ecb7790"
INGENIERIA INDUSTRIAL,"2010","03",M,GUATEMALA,"1976","1995","66",b6ead53c749705e98b747e532e5333a4
INGENIERIA MECANICA,"2010","03",M,GUATEMALA,"1986","2005","73","2274827ab2ac921a375c65158e8e2a36"
INGENIERIA ELECTRICA,"2010","03",F,GUATEMALA,"1979","2003","68","527a9be8031f59de3487247d7a18440f"
INGENIERIA MECANICA,"2010","03",M,GUATEMALA,"1975","1994","68","520fe0d21e405dec7278f47bb835b941"
INGENIERIA MECANICA,"2010","03",M,GUATEMALA,"1984","2007","67","279ad04e6f0139e0486ed3938afed4d4"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","03",F,GUATEMALA,"1980","1999","70",feca18c9c5aa74130b21c59d88e947ff
INGENIERIA CIVIL,"2010","03",M,GUATEMALA,"1982","2004","68","46b4179d798fcedfa4ca19f0a972085e"
INGENIERIA CIVIL,"2010","03",M,GUATEMALA,"1979","1998","66","5439846ba8a58ded4f085c9b3654a76e"
INGENIERIA INDUSTRIAL,"2010","03",M,GUATEMALA,SIN INFORMACION,"1999","68","3e0bd0d0091cd98c342f5a8bda7c2802"
INGENIERIA INDUSTRIAL,"2010","03",M,GUATEMALA,SIN INFORMACION,"1993","67",b4d6937d0e89a41f6fc41e06b7756172
INGENIERIA QUIMICA,"2010","03",M,GUATEMALA,"1984","2003","76",dab0e4ca663b3e86520179788b5807a2
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","03",F,GUATEMALA,"1984","2003","70","6218e4b0a97065830c2738488428174e"
INGENIERIA INDUSTRIAL,"2010","03",F,GUATEMALA,"1986","2004","68","9ab7fe1be5948ee82e53b79f9218aa18"
INGENIERIA CIVIL,"2010","03",M,GUATEMALA,"1982","2000","67","725aded2539da0325f315529a64d2648"
INGENIERIA INDUSTRIAL,"2010","03",M,GUATEMALA,"1978","1997","68","573479ef1cce493a82c76f17b713239c"
INGENIERIA INDUSTRIAL,"2010","03",M,GUATEMALA,"1985","2003","67","2b252dcf00882dc9969dee5014e35b4a"
INGENIERIA ELECTRONICA,"2010","03",M,GUATEMALA,"1985","2003","70",da5d76d9ee8cb133b3b4edaf510713e5
INGENIERIA QUIMICA,"2010","03",F,GUATEMALA,"1986","2004","71",c9584cb027ca7111873b837df9cd69ec
INGENIERIA ELECTRICA,"2010","03",M,GUATEMALA,"1980","2001","71",ee06aa1dd7c365ffbd6e61996d4f4555
INGENIERIA INDUSTRIAL,"2010","03",M,GUATEMALA,"1968","1987","67","7810ad70a6af168dcd4a3fb8a72db2a1"
INGENIERIA CIVIL,"2010","03",M,GUATEMALA,"1966","1985","67","4a49da465059a3141b86aa7f36b7c681"
INGENIERIA CIVIL,"2010","03",M,GUATEMALA,"1984","2002","73","0621b181e02cd7d8e2aa9c2d7c5cbada"
INGENIERIA MECANICA,"2010","03",M,GUATEMALA,"1979","2001","66",d907378a1c3ea5e35cfe157cef8b8047
INGENIERIA MECANICA INDUSTRIAL,"2010","03",M,GUATEMALA,"1983","2003","69","0788795e21bd68d4074bd7cfd6f5f2ba"
INGENIERIA MECANICA,"2010","03",M,GUATEMALA,"1982","2001","70","0d3e7c7c17dc2c7dfba7e4dcff0290de"
INGENIERIA INDUSTRIAL,"2010","03",F,GUATEMALA,"1979","1998","69","93ef18932ea8927125d2d0bad9ab2e17"
INGENIERIA QUIMICA,"2010","03",M,GUATEMALA,"1984","2003","70","9d9a62d257c95b60ff7fa5f16480f7d5"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","03",F,GUATEMALA,"1983","2001","71","69e3b13288dca822fea2a52626eefa68"
INGENIERIA MECANICA,"2010","03",M,GUATEMALA,"1981","2000","66","53fde3b2322caa135869e6716e1e91f9"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","04",M,GUATEMALA,"1983","2001","71","5a30d463c918591f148f042bb720a43c"
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1982","2002","70",e63976f51c12c5d125bf21ec432c5d00
INGENIERIA MECANICA INDUSTRIAL,"2010","04",M,GUATEMALA,"1983","2002","67","6e9b1dd6f722b2f464eca750241b2215"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","04",M,GUATEMALA,"1984","2002","69","727cac9edc613f31ffe371683a07f45a"
INGENIERIA CIVIL,"2010","04",F,GUATEMALA,"1983","2002","67",f26b4d17c173ca9b787e4793eb5b136f
INGENIERIA MECANICA INDUSTRIAL,"2010","04",M,GUATEMALA,"1982","2001","68","2fc09c538e8ca92d34d466d810b8424d"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","04",M,GUATEMALA,"1983","2001","70","5d175a4a00450f4fddeddbec4a434609"
INGENIERIA INDUSTRIAL,"2010","04",M,GUATEMALA,"1985","2003","71","38ec3264dbb2a671195abe1b822e9692"
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1982",SIN INFORMACION,"70","817433de79b1e6d034b9f5b7f8235464"
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1981","2001","67",e1a5064affb7ee86799e33a7fd6ea4a1
INGENIERIA INDUSTRIAL,"2010","04",M,GUATEMALA,"1979","2001","68","53f672b9d67843e846ca6b5341a0b299"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","04",M,GUATEMALA,"1982","2000","68","6f8d8c18f2bcc8a6f65c8d868c2acb21"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","04",M,GUATEMALA,"1983","2000","70","68cbd9f0887bd29c95e8e50960916f60"
INGENIERIA INDUSTRIAL,"2010","04",M,GUATEMALA,"1982","2000","68",bf821a87e0abac27fd11981c69711d34
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1988","2005","70","4be9f0b1e2f3b390eeae59d22a4039c0"
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1986","2005","69",b0cb1e47fdbd09c0f19a641a770149a9
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1982","2001","68",e3a804ab526fadefc31debfcc19dacd7
INGENIERIA ELECTRONICA,"2010","04",M,GUATEMALA,SIN INFORMACION,"1987","73","34fa9e251377137f51f41fd99e4579a7"
INGENIERIA INDUSTRIAL,"2010","04",F,GUATEMALA,"1987","2005","74","7f40013b329804f1add83a49b8df381e"
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1970",SIN INFORMACION,"70",e107380634f80a815854782d1d33d984
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","04",M,GUATEMALA,"1981","1998","68",e0f512692b2b3f1418e1bc4a17096fbf
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1986","2004","72","03edb22166498d78d481a0b06294ed13"
INGENIERIA MECANICA INDUSTRIAL,"2010","04",M,GUATEMALA,"1979","1997","66",cc992bc0846ca996394da25129419228
INGENIERIA INDUSTRIAL,"2010","04",M,GUATEMALA,"1978","2004","67","3b5a9fa2bcaba5290043bbd27e38e0cb"
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1986","2005","72","393c6efbc10fdda2af96340aeda65c6d"
INGENIERIA ELECTRICA,"2010","04",M,GUATEMALA,"1980","2001","66",df727bc896e3d013af1c957bed779c1f
INGENIERIA MECANICA,"2010","04",M,GUATEMALA,"1980","1998","69","528869e5ff312ba5f1177209845338e1"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","04",M,GUATEMALA,"1980","1998","68",d80aa61d7fe5d298afe3fc3bcedfeac0
INGENIERIA MECANICA INDUSTRIAL,"2010","04",M,GUATEMALA,"1980","1999","70","0561390287596987e7c4dc9394f2bd4a"
INGENIERIA CIVIL,"2010","04",M,GUATEMALA,"1981","1999","69",ca3e179fe99b31977c55b6d5e1c19f3b
INGENIERIA ELECTRONICA,"2010","04",M,GUATEMALA,"1980","2000","69",c7490cd6ced50046e61a9aa9170706ff
INGENIERIA MECANICA,"2010","04",M,GUATEMALA,"1919","2000","73","7a07d7721ea462cc2e0d76061f71ec70"
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,"1979","1997","66","44de43a62dd79c0e4126c0b18f002053"
INGENIERIA INDUSTRIAL,"2010","05",M,GUATEMALA,"1987","2005","77",c59e7d54ed57e656e2fd3eaffa778947
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,"1979","1997","67","496940196dbec922271c43de39aaa74d"
INGENIERIA ELECTRICA,"2010","05",M,GUATEMALA,SIN INFORMACION,"1988","72",fdf182e63ab0f9ea675e47d2b5331f97
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,SIN INFORMACION,"1996","69","0902a87cfa64e0c5e91ceebe5ee59850"
INGENIERIA MECANICA INDUSTRIAL,"2010","05",M,GUATEMALA,"1986","2004","69","555a509cd71d14be66195e0118afdbe4"
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,SIN INFORMACION,"2000","70",e09a6de242e0a6e9ecb1e4302ad3b748
INGENIERIA INDUSTRIAL,"2010","05",M,GUATEMALA,"1979","1997","69",cb6111568239c1382ad4a2903ff2dc01
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,"1977","1997","71",f758056fd514a5830b7ecea80f2faa92
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,"1986","2004","78","557a37687b6aea25bfd6921b3a38ab54"
INGENIERIA MECANICA,"2010","05",M,GUATEMALA,"1979","2004","66","43752173e38def85a1e597bac06e8803"
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,"1987","2005","75",e69b44e5f4b350e167520d6324a2e66c
INGENIERIA CIVIL,"2010","05",F,GUATEMALA,"1977","1997","70",fcc94962a33807323f86b23f0a92609e
INGENIERIA INDUSTRIAL,"2010","05",M,GUATEMALA,"1981","1999","67",af0241b2a7df1d1169b93d1e894601a4
INGENIERIA INDUSTRIAL,"2010","05",F,GUATEMALA,"1979","1999","66",d457e6ae21049d121cc8a50b4baec33d
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,"1981","2002","70",c45fec18f0bbc355b7257fe22d5ee3ee
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,"1979","1998","72","4e94439c385e411f184e59ebe740c0a1"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","05",M,GUATEMALA,"1985","2003","69","2185725ee495ede474e29909d4222ccc"
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,"1982","2000","67","9220d6cc2493bb33ab5429b006b0a098"
INGENIERIA INDUSTRIAL,"2010","05",M,GUATEMALA,"1978","1998","67",a8a45256a73ef7870c6bbda34ae26d5a
INGENIERIA MECANICA INDUSTRIAL,"2010","05",M,GUATEMALA,"1983","2003","71","7ec85eb17f8d7d4d048e6c3cbfcffe9d"
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,SIN INFORMACION,"1984","69","3e72cafac625b25ae418d7985a60240b"
INGENIERIA ELECTRICA,"2010","05",M,GUATEMALA,"1964","1984","66","105666b8577ed199fcb29cc20dd2f060"
INGENIERIA MECANICA INDUSTRIAL,"2010","05",M,GUATEMALA,"1981","1998","68","4e02e864616ce80aca5244bb348659a4"
INGENIERIA CIVIL,"2010","05",M,GUATEMALA,"1985","2004","73","33281cc7ba86f65f187a9c15ab5f8b44"
INGENIERIA INDUSTRIAL,"2010","05",M,GUATEMALA,SIN INFORMACION,"1993","69","27ed5a1a4ebfe41417b13790c61ff8b7"
INGENIERIA QUIMICA,"2010","05",M,GUATEMALA,"1981","2001","70",cb17f75366a8984b30c6fc4bc930987c
INGENIERIA CIVIL,"2010","05",F,BELICE,"1979","2002","67","0522f36d0f4deb2b335d1150e96baef8"
INGENIERIA INDUSTRIAL,"2010","05",M,GUATEMALA,"1972","1998","68",bfcba5eebfabdfb4a73a31745ca83207
INGENIERIA MECANICA INDUSTRIAL,"2010","05",M,GUATEMALA,"1985","2004","67",d29f5cd38351455297e18c149ee1f04b
INGENIERIA QUIMICA,"2010","06",F,GUATEMALA,"1988","2005","72",b64ad63f1d625f9c5b73840f35aeefd2
INGENIERIA MECANICA,"2010","06",M,GUATEMALA,"1980","2002","69",c315cf921f85136ade0a814b00dce3ce
INGENIERIA MECANICA INDUSTRIAL,"2010","06",M,GUATEMALA,"1988","2005","81","44db6e9fef65ecee5e762eed291b13bc"
INGENIERIA INDUSTRIAL,"2010","06",F,GUATEMALA,"1987","2006","71",ebe12cbf59c3230f64e378c039c2d4e2
INGENIERIA CIVIL,"2010","06",M,GUATEMALA,"1986","2003","69","48fc993ef1e448a852c622f3896cceeb"
INGENIERIA INDUSTRIAL,"2010","06",M,GUATEMALA,"1983","2002","68","6535f952e2599e796b0f7450e54a7d8d"
INGENIERIA MECANICA,"2010","06",M,GUATEMALA,"1980","2001","69","52de17517763f456144f5a56dfbdd871"
INGENIERIA QUIMICA,"2010","06",F,GUATEMALA,"1987","2005","72",f751fa9f71568fbff8fc3cab6049728c
